tutorial_id,start_source_folder,gt_source_folder,source_type,added_files,deleted_files,changed_files,candidate_files
fps_013_state_machine_basic_jump,FPS012_StateMachineSliding,FPS013_StateMachineBasicJump,checkpoint,2,0,10,controllers/SprintingPlayerState.gd | controllers/fps_controller.tscn | controllers/scripts/IdlePlayerState.gd | controllers/scripts/WalkingPlayerState.gd | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/level_008.tscn | materials/grid.tres | project.godot | ui/themes/debug.tres | controllers/scripts/JumpingPlayerState.gd | levels/level_013.tscn
fps_014_state_machine_double_jump,FPS013_StateMachineBasicJump,FPS014_StateMachineDoubleJump,checkpoint,1,0,7,controllers/fps_controller.tscn | controllers/scripts/JumpingPlayerState.gd | environment/WE_test.tres | levels/level_013.tscn | materials/grid.tres | project.godot | ui/themes/debug.tres | levels/level_014.tscn
fps_015_state_machine_jump_strength,FPS014_StateMachineDoubleJump,FPS015_StateMachineJumpStrength,checkpoint,1,0,7,controllers/fps_controller.tscn | controllers/scripts/JumpingPlayerState.gd | environment/WE_test.tres | levels/level_014.tscn | materials/grid.tres | project.godot | ui/themes/debug.tres | levels/level_015.tscn
fps_016_state_machine_jump_animation,FPS015_StateMachineJumpStrength,FPS016_StateMachineJumpAnimation,checkpoint,0,0,10,controllers/SprintingPlayerState.gd | controllers/fps_controller.tscn | controllers/scripts/IdlePlayerState.gd | controllers/scripts/JumpingPlayerState.gd | controllers/scripts/WalkingPlayerState.gd | environment/WE_test.tres | levels/level_015.tscn | materials/grid.tres | project.godot | ui/themes/debug.tres
fps_017_state_machine_falling,FPS016_StateMachineJumpAnimation,FPS017_StateMachineFalling,checkpoint,1,0,10,controllers/SprintingPlayerState.gd | controllers/fps_controller.tscn | controllers/scripts/IdlePlayerState.gd | controllers/scripts/SlidingPlayerState.gd | controllers/scripts/WalkingPlayerState.gd | environment/WE_test.tres | levels/level_014.tscn | levels/level_015.tscn | materials/grid.tres | ui/themes/debug.tres | controllers/scripts/FallingPlayerState.gd
fps_018_weapon_setup_positioning,FPS017_StateMachineFalling,FPS018_WeaponSetupPositioning,checkpoint,6,0,7,controllers/fps_controller.tscn | environment/WE_test.tres | levels/level_014.tscn | levels/level_015.tscn | materials/grid.tres | project.godot | ui/themes/debug.tres | meshes/weapons/crowbar/anim_crowbar.tres | meshes/weapons/crowbar/crowbar.glb | meshes/weapons/crowbar/crowbar_0.png | meshes/weapons/crowbar/crowbar_1.png | meshes/weapons/crowbar/crowbar_2.png
fps_019_weapon_fov_depth,FPS018_WeaponSetupPositioning,FPS019_WeaponFOVDepth,checkpoint,6,0,7,controllers/fps_controller.tscn | environment/WE_test.tres | levels/WE_test.tscn | levels/level_015.tscn | materials/grid.tres | project.godot | ui/themes/debug.tres | controllers/scripts/WeaponCamera.gd | controllers/scripts/WeaponViewport.gd | meshes/weapons/crowbar/mesh_crowbar.res | meshes/weapons/crowbar/shader_crowbar.tres | meshes/weapons/weapon.tscn
fps_020_weapon_modular_system,FPS019_WeaponFOVDepth,FPS020_WeaponModularSystem,checkpoint,34,0,11,controllers/fps_controller.tscn | controllers/scripts/fps_controller.gd | environment/WE_test.tres | levels/WE_test.tscn | levels/level_015.tscn | materials/grid.tres | meshes/weapons/crowbar/anim_crowbar.tres | meshes/weapons/crowbar/mesh_crowbar.res | meshes/weapons/weapon.tscn | project.godot | ui/themes/debug.tres | assets/lighting/small_light1.tscn
fps_021_weapon_sway,FPS020_WeaponModularSystem,FPS021_WeaponSway,checkpoint,1,0,10,controllers/fps_controller.tscn | environment/WE_dev.tres | levels/level_001.tscn | levels/level_016.tscn | materials/grid.tres | meshes/weapons/crowbar/crowbar.tres | meshes/weapons/crowbar2/crowbarL.tres | meshes/weapons/init_weapon.gd | meshes/weapons/weapon.tscn | meshes/weapons/weapons.gd | textures/noise/noise_weapon_sway.tres
fps_022_weapon_idle_animation,FPS021_WeaponSway,FPS022_WeaponIdleAnimation,checkpoint,56,2,16,LICENSE | controllers/fps_controller.tscn | environment/WE_dev.tres | levels/level_002.tscn | levels/level_007.tscn | levels/level_008.tscn | levels/level_013.tscn | levels/level_014.tscn | levels/level_015.tscn | materials/grid.tres | meshes/demo/Platform.mtl | meshes/weapons/crowbar/crowbar.tres
fps_023_weapon_bobbing_animation,FPS022_WeaponIdleAnimation,FPS023_WeaponBobbingAnimation,checkpoint,2,0,15,controllers/fps_controller.tscn | controllers/scripts/CrouchingPlayerState.gd | controllers/scripts/IdlePlayerState.gd | controllers/scripts/SprintingPlayerState.gd | controllers/scripts/WalkingPlayerState.gd | controllers/scripts/fps_controller.gd | levels/level_014.tscn | meshes/demo/barrel.res | meshes/demo/cube.res | meshes/demo/platform.res | meshes/weapons/crowbar/mesh_crowbar.res | meshes/weapons/gun_rifle/sci_rifle.res
fps_024_shooting_raycasting_setup,FPS023_WeaponBobbingAnimation,FPS024_ShootingRaycastingSetup,checkpoint,1,0,5,controllers/fps_controller.tscn | controllers/scripts/IdlePlayerState.gd | levels/level_014.tscn | meshes/weapons/init_weapon.gd | project.godot | assets/scenes/raycast_test.tscn
fps_025_easy_bullet_decals,FPS024_ShootingRaycastingSetup,FPS025_EasyBulletDecals,checkpoint,1,0,4,assets/scenes/raycast_test.tscn | controllers/fps_controller.tscn | levels/level_014.tscn | meshes/weapons/init_weapon.gd | textures/bullet_hole.png
fps_026_procedural_gun_recoil,FPS025_EasyBulletDecals,FPS026_ProceduralGunRecoil,checkpoint,7,0,6,assets/scenes/raycast_test.tscn | controllers/fps_controller.tscn | levels/level_014.tscn | meshes/demo/barrel.res | meshes/weapons/init_weapon.gd | project.godot | levels/level_026.tscn | materials/grid_light.tres | materials/grid_red.tres | meshes/general/GeniSys_Box.obj | scripts/weapon_recoil.gd | textures/texture_light.png
fps_027_procedural_gun_recoil_part_two,FPS026_ProceduralGunRecoil,FPS027_ProceduralGunRecoilPartTwo,checkpoint,1,0,2,controllers/fps_controller.tscn | meshes/weapons/weapon.tscn | scripts/weapon_recoil_physical.gd
fps_028_gun_muzzle_flash,FPS027_ProceduralGunRecoilPartTwo,FPS028_GunMuzzleFlash,checkpoint,1,0,4,controllers/fps_controller.tscn | levels/level_026.tscn | meshes/weapons/weapon.tscn | project.godot | scripts/muzzle_flash.gd
fps_029_setting_up_object_interaction_in_godot,FPS028_GunMuzzleFlash,FPS029_SettingUpObjectInteractionInGodot,checkpoint,0,0,4,controllers/fps_controller.tscn | controllers/scripts/fps_controller.gd | levels/level_026.tscn | project.godot
fps_030_creating_a_modular_interaction_component,FPS029_SettingUpObjectInteractionInGodot,FPS030_CreatingAModularInteractionComponent,checkpoint,1,0,2,controllers/scripts/fps_controller.gd | levels/level_026.tscn | scripts/interaction_component.gd
fps_031_highlighting_interactable_objects_in_godot,FPS030_CreatingAModularInteractionComponent,FPS031_HighlightingInteractableObjectsInGodot,checkpoint,1,0,4,controllers/fps_controller.tscn | controllers/scripts/fps_controller.gd | levels/level_026.tscn | scripts/interaction_component.gd | materials/interactable_highlight.tres
fps_032_interactive_door_component_make_an_fps_in_godot,FPS031_HighlightingInteractableObjectsInGodot,FPS032_InteractiveDoorComponentMakeAnFPSInGodot,checkpoint,3,0,5,controllers/fps_controller.tscn | environment/WE_dev.tres | levels/level_026.tscn | materials/grid.tres | materials/grid_grey.tres | levels/032_door_component.tscn | materials/prototype_grey.tres | scripts/door_component.gd
fps_033_context_ui_for_interactions,FPS032_InteractiveDoorComponentMakeAnFPSInGodot,FPS033_ContextUIForInteractions,checkpoint,12,0,7,controllers/fps_controller.tscn | levels/032_door_component.tscn | levels/level_026.tscn | materials/grid_grey.tres | project.godot | scripts/global.gd | scripts/interaction_component.gd | scripts/message_bus.gd | textures/input/keyboard_e.png | theme/Inter-Black.ttf | theme/Inter-Bold.ttf | theme/Inter-Light.ttf
fps_034_creating_a_message_bus_for_signals,FPS033_ContextUIForInteractions,FPS034_CreatingAMessageBusForSignals,checkpoint,1,0,7,controllers/fps_controller.tscn | levels/032_door_component.tscn | levels/level_026.tscn | scripts/door_component.gd | scripts/interaction_component.gd | scripts/message_bus.gd | ui/scripts/context_component.gd | materials/interaction_object.tres
fps_035_create_rotating_doors,FPS034_CreatingAMessageBusForSignals,FPS035_CreateRotatingDoors,checkpoint,0,0,4,controllers/fps_controller.tscn | levels/032_door_component.tscn | scripts/door_component.gd | scripts/interaction_component.gd
fps_036_how_to_create_smart_doors,FPS035_CreateRotatingDoors,FPS036_HowToCreateSmartDoors,checkpoint,0,0,2,levels/032_door_component.tscn | scripts/door_component.gd
fps_037_how_to_open_and_close_doors,FPS036_HowToCreateSmartDoors,FPS037_HowToOpenAndCloseDoors,checkpoint,0,0,2,levels/032_door_component.tscn | scripts/door_component.gd
fps_038_how_to_make_automatic_doors,FPS037_HowToOpenAndCloseDoors,FPS038_HowToMakeAutomaticDoors,checkpoint,2,0,4,controllers/fps_controller.tscn | levels/032_door_component.tscn | scripts/door_component.gd | scripts/interaction_component.gd | theme/icons/icon_door_component.png | theme/icons/icon_interaction_component.png
fps_039_open_doors_with_physics,FPS038_HowToMakeAutomaticDoors,FPS039_OpenDoorsWithPhysics,checkpoint,1,0,2,controllers/fps_controller.tscn | scripts/door_component.gd | levels/039_physics_door.tscn
fps_040_pushable_physics_doors_with_the_player,FPS039_OpenDoorsWithPhysics,FPS040_PushablePhysicsDoorsWithThePlayer,checkpoint,1,0,5,controllers/fps_controller.tscn | controllers/scripts/fps_controller.gd | levels/039_physics_door.tscn | meshes/demo/barrel.res | project.godot | scripts/physics_component.gd
fps_041_using_the_raycast_3d_node_for_interactions,FPS040_PushablePhysicsDoorsWithThePlayer,FPS041_UsingTheRaycast3DNodeForInteractions,checkpoint,3,0,5,controllers/fps_controller.tscn | controllers/scripts/fps_controller.gd | levels/039_physics_door.tscn | project.godot | scripts/interaction_component.gd | controllers/scripts/interaction_raycast.gd | levels/041_object_pickup.tscn | scripts/pickup_component.gd
fps_042_picking_up_objects,FPS041_UsingTheRaycast3DNodeForInteractions,FPS042_PickingUpObjects,checkpoint,0,0,0,
