task_id,task_number,task_name,validation_status,checks_passed,checks_failed,validation_issues,has_validation_file,- validation,tutorial_source,video_id,video_url,github_repo,categories,human_description,instruction
task_0011,11,Configure Bullet Scene Signals,NO_VALIDATION_FILE,0,0,,No,"Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nWARNING: res://scenes/test.tscn:3 - ext_resource, invalid UID: uid://codex0207test - using text path instead: res://scripts/test.gd\n   at: load (scene/resources/resource_format_text.cpp:447)\nVALIDATION_FAILED: Bullet collision_layer must be 16","YouTube: Game Dev Artisan - Adding Collisions: Layers, Detections, and Interactions - Godot Fundamentals",z9d8BU1o3Zw,https://www.youtube.com/watch?v=z9d8BU1o3Zw,https://github.com/Game-Dev-Artisan/godot-fundamentals,,Implement Configure Bullet Scene Signals,"Create res://scenes/entities/tank/weapon/bullet.tscn with an Area2D root named Bullet that uses res://scripts/entities/tank/weapon/bullet.gd, set its collision_layer to 16 and collision_mask to 44, add a 3×3 rectangular CollisionShape2D plus a Sprite2D with a texture, and connect both area_entered and body_entered signals to the Bullet script handlers."
task_0012,12,Implement Bullet Collision Cleanup,PASS,10,0,,Yes,"Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nWARNING: res://scenes/test.tscn:3 - ext_resource, invalid UID: uid://codex0207test - using text path instead: res://scripts/test.gd\n   at: load (scene/resources/resource_format_text.cpp:447)\nVALIDATION_FAILED: Define const SPEED = 500 in bullet.gd","YouTube: Game Dev Artisan - Adding Collisions: Layers, Detections, and Interactions - Godot Fundamentals",z9d8BU1o3Zw,https://www.youtube.com/watch?v=z9d8BU1o3Zw,https://github.com/Game-Dev-Artisan/godot-fundamentals,,Implement Implement Bullet Collision Cleanup,"Update res://scripts/entities/tank/weapon/bullet.gd so the Bullet has const SPEED = 500, stores its travel direction and firing tank, moves every physics frame by direction.normalized() * SPEED * delta, queues itself when area_entered fires, and on body_entered destroys Crate bodies before calling queue_free()."
task_0013,13,Implement FSM Foundations,NO_VALIDATION_FILE,0,0,,No,Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nVALIDATION_FAILED: State must stash the actor passed to _init\nWARNING: ObjectDB instances leaked at exit (run with --verbose for details).\n   at: cleanup (core/object/object.cpp:2378),"YouTube: GodotGameLab - Godot 4 Autobattler Tutorial: RefCounted, FSM & UnitAI (S02E06)",m4Bq_xX4eMo,https://www.youtube.com/watch?v=m4Bq_xX4eMo,https://github.com/guladam/godot_autobattler_course,,Implement Implement FSM Foundations,"Implement res://components/state.gd so State._init(new_actor) stores the provided actor reference, and complete res://components/finite_state_machine.gd by declaring a state_changed(new_state) signal plus a change_state(new_state) method that calls exit() on the previous state, enter() on the new state, updates the state property, and emits state_changed after every transition."
task_0014,14,Build the gritty world environment stack,PASS,18,0,Has critical issues,Yes,Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nVALIDATION_FAILED: Background mode must be SKY,YouTube: Bonkahe - Basic Post Processing in Godot 4,yW15z7xqMnw,https://www.youtube.com/watch?v=yW15z7xqMnw,https://github.com/Bonkahe/EnviromentalPostProcessing,,Implement Build the gritty world environment stack,"Under Main, configure the WorldEnvironment so its Environment keeps the procedural sky background (background_mode = Sky) with the ProceduralSkyMaterial's sky colors set to Color(0.5216, 0.6706, 0.7922), switches to ACES tone mapping, enables SSR with 128 max steps and 0.51 depth tolerance, enables SSAO at intensity 5.54, enables SDFGI with occlusion (bounce feedback 1.44, 6 cascades, 0.1 min cell size), and activates glow using LensDirtTexture.png with normalized screen blend (intensity 4.33, strength 0.88, bloom 0.05)."
task_0015,15,Enable fog and LUT grading,PASS,18,0,Has critical issues,Yes,Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nVALIDATION_FAILED: Linear fog must be enabled,YouTube: Bonkahe - Basic Post Processing in Godot 4,yW15z7xqMnw,https://www.youtube.com/watch?v=yW15z7xqMnw,https://github.com/Bonkahe/EnviromentalPostProcessing,,Implement Enable fog and LUT grading,"Enable depth fog in the shared WorldEnvironment, tint it to Color(0.5176, 0.5529, 0.6196) with density 0.001 and sky affect 0.147, enable volumetric fog with albedo Color(0.8706, 0.7961, 0.7726), and turn on Adjustments so the color correction slot uses the provided ExtremeLUT.png Texture3D as its lookup table."
task_0016,16,Install the cultist flashlight priority marker,PASS,17,0,Has critical issues,Yes,"Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nWARNING: res://scenes/CultistBody.tscn:3 - ext_resource, invalid UID: uid://be820l1xl0yde - using text path instead: res://meshes/enemies/Cultist.gltf\n   at: load (scene/resources/resource_format_text.cpp:447)\nERROR: No loader found for resource: res://meshes/enemies/Cultist.gltf (expected type: PackedScene)\n   at: _load (core/io/resource_loader.cpp:359)\nWARNING: res://materials/enemies/CultistBodyMat.tres:3 - ext_resource, invalid UID: uid://dvmqbave4jquw - using text path instead: res://textures/enemies/CultistAlbedo.png\n   at: load (scene/resources/resource_format_text.cpp:447)\nERROR: No loader found for resource: res://textures/enemies/CultistAlbedo.png (expected type: Texture2D)\n   at: _load (core/io/resource_loader.cpp:359)\nWARNING: res://materials/enemies/CultistBodyMat.tres:4 - ext_resource, invalid UID: uid://dkcuwx8rytq8s - using text path instead: res://textures/enemies/CultistMarksMask.png\n   at: load (scene/resources/resource_format_text.cpp:447)\nERROR: No loader found for resource: res://textures/enemies/CultistMarksMask.png (expected type: Texture2D)\n   at: _load (core/io/resource_loader.cpp:359)\nWARNING: res://materials/enemies/CultistBodyMat.tres:5 - ext_resource, invalid UID: uid://cimfuexfxfvj5 - using text path instead: res://textures/enemies/CultistNormalMap.png\n   at: load (scene/resources/resource_format_text.cpp:447)\nERROR: No loader found for resource: res://textures/enemies/CultistNormalMap.png (expected type: Texture2D)\n   at: _load (core/io/resource_loader.cpp:359)\nWARNING: res://materials/enemies/CultistBodyMat.tres:6 - ext_resource, invalid UID: uid://s0fxp8nm2qcv - using text path instead: res://textures/enemies/CultistRoughness.png\n   at: load (scene/resources/resource_format_text.cpp:447)\nERROR: No loader found for resource: res://textures/enemies/CultistRoughness.png (expected type: Texture2D)\n   at: _load (core/io/resource_loader.cpp:359)\nERROR: res://materials/enemies/CultistBodyMat.tres:9 - Parse Error: [ext_resource] referenced non-existent resource at: res://textures/enemies/CultistAlbedo.png.\n   at: _printerr (scene/resources/resource_format_text.cpp:39)\nERROR: res://materials/enemies/CultistBodyMat.tres:9 - Parse Error: [ext_resource] referenced non-existent resource at: res://textures/enemies/CultistAlbedo.png.\n   at: _printerr (scene/resources/resource_format_text.cpp:39)\nERROR: Failed loading resource: res://materials/enemies/CultistBodyMat.tres. Make sure resources have been imported by opening the project in the editor at least once.\n   at: _load (core/io/resource_loader.cpp:344)\nERROR: res://scenes/CultistBody.tscn:79 - Parse Error: [ext_resource] referenced non-existent resource at: res://meshes/enemies/Cultist.gltf.\n   at: _printerr (scene/resources/resource_format_text.cpp:39)\nERROR: res://scenes/CultistBody.tscn:79 - Parse Error: [ext_resource] referenced non-existent resource at: res://meshes/enemies/Cultist.gltf.\n   at: _printerr (scene/resources/resource_format_text.cpp:39)\nERROR: Failed loading resource: res://scenes/CultistBody.tscn. Make sure resources have been imported by opening the project in the editor at least once.\n   at: _load (core/io/resource_loader.cpp:344)\nERROR: res://scenes/cultist_prefab.tscn:8 - Parse Error: [ext_resource] referenced non-existent resource at: res://scenes/CultistBody.tscn.\n   at: _printerr (scene/resources/resource_format_text.cpp:39)\nWARNING: Node './CultistBody' was modified from inside an instance, but it has vanished.\n   at: instantiate (scene/resources/packed_scene.cpp:253)\nVALIDATION_FAILED: FlashlightPoint child not found on ChestMarkerContainer",YouTube: Bonkahe - Godot 3D - Dynamic Targeting Plus Custom Array Sorting - Making a FPS Horror Game (GDScript) | 12,EeQHw3rRJgc,https://www.youtube.com/watch?v=EeQHw3rRJgc,https://github.com/Bonkahe/FPSHorrorGDScript,,Implement Install the cultist flashlight priority marker,In scenes/cultist_prefab.tscn add a FlashlightPoint instance (point_of_interest.tscn) under ChestMarkerContainer so Main/Cultist exposes a child named FlashlightPoint that belongs to the FlashlightPoints group and has its priority set to High. Leave the existing ChestTarget marker alone; only wire up the high-priority flashlight anchor.
task_0017,17,Cultist Limb SkeletonIK,PASS,17,0,Has critical issues,Yes,Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nVALIDATION_FAILED: Missing Hand_R_IK,YouTube: Bonkahe - Godot 3D - Implementing Basic Procedual Animation - Making a FPS Horror Game (GDScript) | 07,fXHJLNAY0NU,https://www.youtube.com/watch?v=fXHJLNAY0NU,https://github.com/Bonkahe/FPSHorrorGDScript,,Implement Cultist Limb SkeletonIK,"Inside Main/Cultist/CultistBody/CultistRig/Skeleton3D, create four SkeletonIK3D nodes named Hand_R_IK, Hand_L_IK, Foot_R_IK, and Foot_L_IK. Configure their root/tip bones exactly as in the video (upper_arm.R → hand.R, upper_arm.L → hand.L, thigh.R → foot.R, thigh.L → foot.L), enable magnet support, and point each solver’s target_node at the matching IK target container (RightHandTargetContainer/Hand_R_Target, LeftHandTargetContainer/Hand_L_Target, etc.)."
task_0018,18,Wire the weapon effects controller,PASS,17,0,Has critical issues,Yes,Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nVALIDATION_FAILED: RayCast3D missing under BarrelEnd,YouTube: Bonkahe - Godot 3D - Making a FPS Horror Game (C#) | 03 | Gun Mechanics,obEgPSnPqUs,https://www.youtube.com/watch?v=obEgPSnPqUs,https://github.com/Bonkahe/FPSHorrorMono,,Implement Wire the weapon effects controller,"In scenes/main.tscn, finish the arms rig so BarrelEnd has a RayCast3D child that points straight 1000 units forward (facing away from camera), then add a WeaponEffectsController node under ArmsRig that uses scripts/weapon_effects_controller.gd. Assign its Barrel End and Barrel RayCast exports to the nodes you just created and point the PackedScene exports at scenes/effects/muzzle_flash_effect.tscn and scenes/effects/impact_effect.tscn. Finally, hook PlayerBody's gun_effects export up to the new controller so the CharacterBody3D script can call FireRevolver and Reload."
task_0019,19,Build the muzzle flash effect prefab,NO_VALIDATION_FILE,0,0,,No,Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nVALIDATION_FAILED: MuzzleFlashEffect must use generic_effect_handler.gd,YouTube: Bonkahe - Godot 3D - Making a FPS Horror Game (C#) | 03 | Gun Mechanics,obEgPSnPqUs,https://www.youtube.com/watch?v=obEgPSnPqUs,https://github.com/Bonkahe/FPSHorrorMono,,Implement Build the muzzle flash effect prefab,"Create a layered muzzle flash prefab: edit scenes/effects/muzzle_flash_effect.tscn so the root Node3D uses scripts/generic_effect_handler.gd, targets its Optional Light export at an OmniLight child named MuzzleFlash, and keeps a 0.2 second fade. Add SmokeParticles configured with zero gravity and a StandardMaterial3D mesh using a radial GradientTexture2D. Simulate a volumetric smoke puff using the particle billboard mode for billboarding, plus a pair of opposing GPUParticles3D named MuzzleFireLeft and MuzzleFireRight that emit one-shot bursts. Each muzzle fire particle system must rely on the provided assets/shaders/muzzle_flash.gdshader ShaderMaterial and include a draw-pass QuadMesh so the burst renders from both sides. Wire the scene into scenes/main.tscn so Main instantiates the finished effect."
task_0020,20,Transition Menu Prefab,PASS,16,0,Has critical issues,Yes,Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nVALIDATION_FAILED: Missing LaunchMenu panel\nVALIDATION_FAILED: Missing PauseMenu panel\nVALIDATION_FAILED: Missing RestartMenu panel,YouTube: Bonkahe - Menus and Transitions! - FPS Horror Project (GDScript) | 19,Oh70eo4pep8,https://www.youtube.com/watch?v=Oh70eo4pep8,https://github.com/Bonkahe/FPSHorrorGDScript,,Implement Transition Menu Prefab,"Create res://scenes/menus.tscn as a Control named Menus that fills the viewport, keeps process mode Always, and uses scripts/menu_handler.gd. Add three hidden panels, all centered with anchors at 0.5: LaunchMenu (offsets: -205, -196 to 205, 196), PauseMenu (offsets: -205, -196 to 205, 45), and RestartMenu (offsets: -205, -196 to 205, 63). Give LaunchMenu a VBoxContainer with two labels, `Label` writing 'FPS Horror' and `Label2` writing 'By Bonkahe'; give PauseMenu a VBoxContainer containing label `Label` writing 'Paused'; and give RestartMenu a VBoxContainer containing label node `Label` writing 'You Died'. Add the appropriate buttons (FullScreenButton, PlayButton, QuitButton, ResumeButton, RestartButton) to the vbox containers of each panel using 31pt font overrides and exact node names. Finally, add a CanvasLayer on layer 2 with a TransitionOverlay ColorRect that ignores mouse input and stretches to the viewport; assign assets/materials/menu_overlay_material.tres to it, export the LaunchMenu/PauseMenu/DeathMenu references on the root, and connect every button’s pressed signal to the proper menu handler method (ToggleFullScreen, BeginLaunch, HidePauseMenu, RestartLevel, ExitGame)."
task_0021,21,Level Camera Menu Hookup,PASS,17,0,Has critical issues,Yes,Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nVALIDATION_FAILED: LevelCamera node missing,YouTube: Bonkahe - Menus and Transitions! - FPS Horror Project (GDScript) | 19,Oh70eo4pep8,https://www.youtube.com/watch?v=Oh70eo4pep8,https://github.com/Bonkahe/FPSHorrorGDScript,,Implement Level Camera Menu Hookup,"In res://scenes/level.tscn add a Camera3D named LevelCamera that matches the static menu shot (use position roughly -12.22, 15.83, 12.44 and use the rotation basis vectors (0.794097, 0.0, 0.607792), (0.37447, 0.787656, -0.489255), (-0.478731, 0.616115, 0.625475); leave current disabled). Instance res://scenes/player_body.tscn and res://scenes/menus.tscn under the Level root so the player and menu prefab exist together, then assign the menu handler exports so PlayerNode points to the PlayerBody node, LevelCamera points to the new LevelCamera, and the TransitionMaterial remains the provided shader material. The Menus instance must stay linked to scenes/menus.tscn and sit alongside the player so the handler can hide the player, drive the LevelCamera, and run transitions while the tree is paused."
task_0022,22,Trap Spawning Points,PASS,16,0,Has critical issues,Yes,Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nVALIDATION_PASSED: Spawning markers configured for the trap,YouTube: Cashew OldDew - Signals in Godot 4.3,unknown,https://www.youtube.com/watch?v=unknown,https://github.com/cashew-olddew/godot-tutorials,,Implement Trap Spawning Points,"Add a Node2D named SpawningPoints under the Trap node. Inside SpawningPoints, create two Marker2D children named SpawnTop and SpawnBot. Place SpawnTop at position (0, 15) and SpawnBot at position (0, -15). Set SpawnBot's z_index to 1."
task_0023,23,Player Damage Signal Bridge,PASS,17,0,Has critical issues,Yes,Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nVALIDATION_FAILED: Add a CanvasLayer named HUD to host damage UI,YouTube: Cashew OldDew - Signals in Godot 4.3,uQl0HC-2FNk,https://www.youtube.com/watch?v=uQl0HC-2FNk,https://github.com/cashew-olddew/godot-tutorials,,Implement Player Damage Signal Bridge,"In res://scenes/main.tscn, use the existing Main (Node2D) root and existing Player (CharacterBody2D) node. Add a CanvasLayer named HUD with a Label called DamageLabel that starts at ""Total Damage: 0"", and connect Player.taken_damage to Main._on_player_taken_damage so the label updates each time Player.take_damage emits 20 damage."
task_0024,24,Codex Interactable Highlight Resource,FAIL,14,3,Has critical issues,Yes,Godot Engine v4.4.1.stable.official.49a5bc7b6 - https://godotengine.org\n\nVALIDATION_FAILED: ItemPickup collision layers must be set to layer 2 / mask 3,YouTube: Bonkahe - Basic Inventory System [Part 1] - Godot 4.x,XLjCmdy8jdw,https://www.youtube.com/watch?v=XLjCmdy8jdw,https://github.com/Bonkahe/Basic-Inventory-System-Godot4,,Implement Codex Interactable Highlight Resource,"Author res://scripts/interactable_item.gd so it extends Node3D with class_name InteractableItem, exports a MeshInstance3D named item_highlight_mesh, hides that mesh in _ready(), and provides gain_focus() / lose_focus() methods that toggle its visibility. Attach the script to the RigidBody3D in res://scenes/item_pickup.tscn, set its collision_layer to 2, collision_mask to 3, assign MeshInstance3D/Highlight to the export, and ensure the Highlight child stays hidden by default while using an emissive StandardMaterial3D for its outline. Create res://scripts/item_data.gd as a Resource with exported item_name (String) and item_model_prefab (PackedScene), then add res://resources/items/test_cube.tres using that script so it stores the name ""Test Cube"" and points item_model_prefab to res://scenes/item_pickup.tscn. Leave the ItemPickup instance in res://scenes/main.tscn so the prefab is visible in the scene tree."
task_0025,25,Codex Interaction Area Pickup,NO_VALIDATION_FILE,0,0,,No,Godot Engine v4.5.stable.official.876b29033 - https://godotengine.org\n\nVALIDATION_FAILED: Project must define an 'interact' input action,YouTube: Bonkahe - Basic Inventory System [Part 1] - Godot 4.x,XLjCmdy8jdw,https://www.youtube.com/watch?v=XLjCmdy8jdw,https://github.com/Bonkahe/Basic-Inventory-System-Godot4,,Implement Codex Interaction Area Pickup,"Implement res://scripts/player_interaction_handler.gd so it extends Area3D with class_name PlayerInteractionHandler, defines an item_picked_up(item_data: ItemData) signal, exports item_types: Array[ItemData], tracks nearby_bodies: Array[InteractableItem], listens for the 'interact' input action in _input(), and runs pickup_nearest_item() to remove the closest InteractableItem, queue_free it, and match its PackedScene path against the exported ItemData array before emitting the signal. Provide _on_body_entered() / _on_body_exited() methods that gain and lose focus on interactables and keep nearby_bodies in sync. Attach this script to PlayerBody/InteractionArea inside res://scenes/main.tscn, set its collision_layer to 0, collision_mask to 2, connect body_entered and body_exited to the script methods, and assign res://resources/items/test_cube.tres plus res://resources/items/test_sphere.tres to the exported array so pickups can be identified. Update project.godot to define an 'interact' action bound to the F key so the handler receives the input."
